alcaldia,HOMICIDIO DOLOSO,LESIONES DOLOSAS POR DISPARO DE ARMA DE FUEGO,ROBO A CASA HABITACIÓN CON VIOLENCIA,ROBO A CUENTAHABIENTE SALIENDO DEL CAJERO CON VIOLENCIA,ROBO A NEGOCIO CON VIOLENCIA,ROBO A PASAJERO A BORDO DE MICROBUS CON Y SIN VIOLENCIA,ROBO A PASAJERO A BORDO DE TAXI CON VIOLENCIA,ROBO A PASAJERO A BORDO DEL METRO CON Y SIN VIOLENCIA,ROBO A REPARTIDOR CON Y SIN VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,ROBO A TRANSPORTISTA CON Y SIN VIOLENCIA,ROBO DE VEHÍCULO CON Y SIN VIOLENCIA,SECUESTRO,VIOLACIÓN
ALVARO OBREGON,526,279,279,158,2481,201,166,73,1293,5480,3,3056,6,769
AZCAPOTZALCO,311,155,129,82,1527,127,37,155,727,2941,103,2257,9,355
BENITO JUAREZ,96,74,127,151,1382,102,80,886,376,3775,6,3053,3,487
COYOACAN,259,164,147,127,1310,297,67,227,422,3867,6,3833,2,618
CUAJIMALPA DE MORELOS,55,13,71,19,256,7,6,0,48,427,2,439,3,194
CUAUHTEMOC,761,315,139,193,2304,116,234,2960,765,9127,29,2642,20,1070
GUSTAVO A. MADERO,1110,507,329,247,3180,386,120,574,1468,6687,105,6600,16,1133
IZTACALCO,286,211,115,98,1693,484,72,517,727,3391,23,2311,3,443
IZTAPALAPA,1600,887,526,340,5052,1555,215,491,3754,12010,90,9701,33,1780
LA MAGDALENA CONTRERAS,119,82,114,16,375,40,22,0,160,776,0,921,3,259
MIGUEL HIDALGO,259,162,160,234,2615,195,149,726,697,5217,11,1916,5,434
MILPA ALTA,86,37,25,7,65,15,3,0,34,319,0,401,5,178
TLAHUAC,367,150,144,59,851,324,24,57,308,1764,4,2182,8,463
TLALPAN,613,207,252,86,1417,161,57,1,450,2451,22,4064,20,805
VENUSTIANO CARRANZA,551,274,153,148,1914,232,116,1083,809,5020,77,2429,42,535
XOCHIMILCO,360,112,143,45,784,152,26,0,378,1935,1,2396,5,614
